date	Community-based family support	Baby and Child Institutions	Child Protection	Foster Care
2/10/2020	42.87279152	28.24028269	10.70671378	18.18021201
11/10/2020	43.03533569	28.15547703	10.69257951	18.11660777
20/10/2020	43.19787986	28.07067138	10.67844523	18.05300353
29/10/2020	43.36042403	27.98586572	10.66431095	17.98939929
7/11/2020	43.5229682	27.90106007	10.65017668	17.92579505
16/11/2020	43.68551237	27.81625442	10.6360424	17.86219081
25/11/2020	43.84805654	27.73144876	10.62190813	17.79858657
4/12/2020	44.01060071	27.64664311	10.60777385	17.73498233
13/12/2020	44.17314488	27.56183746	10.59363958	17.67137809
22/12/2020	44.33568905	27.4770318	10.5795053	17.60777385
31/12/2020	44.49823322	27.39222615	10.56537102	17.54416961
9/01/2021	44.66077739	27.30742049	10.55123675	17.48056537
18/01/2021	44.82332155	27.22261484	10.53710247	17.41696113
27/01/2021	44.98586572	27.13780919	10.5229682	17.35335689
5/02/2021	45.14840989	27.05300353	10.50883392	17.28975265
14/02/2021	45.31095406	26.96819788	10.49469965	17.22614841
23/02/2021	45.47349823	26.88339223	10.48056537	17.16254417
4/03/2021	45.6360424	26.79858657	10.4664311	17.09893993
13/03/2021	45.79858657	26.71378092	10.45229682	17.03533569
22/03/2021	45.96113074	26.62897527	10.43816254	16.97173145
31/03/2021	46.12367491	26.54416961	10.42402827	16.90812721
9/04/2021	46.28621908	26.45936396	10.40989399	16.84452297
18/04/2021	46.44876325	26.3745583	10.39575972	16.78091873
27/04/2021	46.61130742	26.28975265	10.38162544	16.71731449
6/05/2021	46.77385159	26.204947	10.36749117	16.65371025
15/05/2021	46.93639576	26.12014134	10.35335689	16.59010601
24/05/2021	47.09893993	26.03533569	10.33922261	16.52650177
2/06/2021	47.2614841	25.95053004	10.32508834	16.46289753
11/06/2021	47.42402827	25.86572438	10.31095406	16.39929329
20/06/2021	47.58657244	25.78091873	10.29681979	16.33568905
29/06/2021	47.74911661	25.69611307	10.28268551	16.27208481
8/07/2021	47.91166078	25.61130742	10.26855124	16.20848057
17/07/2021	48.07420495	25.52650177	10.25441696	16.14487633
26/07/2021	48.23674912	25.44169611	10.24028269	16.08127208
4/08/2021	48.39929329	25.35689046	10.22614841	16.01766784
13/08/2021	48.56183746	25.27208481	10.21201413	15.9540636
22/08/2021	48.72438163	25.18727915	10.19787986	15.89045936
31/08/2021	48.8869258	25.1024735	10.18374558	15.82685512
9/09/2021	49.04946996	25.01766784	10.16961131	15.76325088
18/09/2021	49.21201413	24.93286219	10.15547703	15.69964664
27/09/2021	49.3745583	24.84805654	10.14134276	15.6360424
6/10/2021	49.53710247	24.76325088	10.12720848	15.57243816
15/10/2021	49.69964664	24.67844523	10.1130742	15.50883392
24/10/2021	49.86219081	24.59363958	10.09893993	15.44522968
2/11/2021	50.02473498	24.50883392	10.08480565	15.38162544
11/11/2021	50.18727915	24.42402827	10.07067138	15.3180212
20/11/2021	50.34982332	24.33922261	10.0565371	15.25441696
29/11/2021	50.51236749	24.25441696	10.04240283	15.19081272
8/12/2021	50.67491166	24.16961131	10.02826855	15.12720848
17/12/2021	50.83745583	24.08480565	10.01413428	15.06360424
26/12/2021	51	24	10	15
4/01/2022	51	24	10	15
13/01/2022	51	24	10	15
22/01/2022	51	24	10	15
31/01/2022	51	24	10	15
9/02/2022	51	24	10	15
18/02/2022	51	24	10	15
27/02/2022	51	24	10	15
8/03/2022	51	24	10	15
17/03/2022	51	24	10	15
26/03/2022	51	24	10	15
4/04/2022	51	24	10	15
13/04/2022	51	24	10	15
22/04/2022	51	24	10	15
1/05/2022	51	24	10	15
10/05/2022	51	24	10	15
19/05/2022	51	24	10	15
28/05/2022	51	24	10	15
6/06/2022	51	24	10	15
15/06/2022	51	24	10	15
24/06/2022	51	24	10	15
3/07/2022	51	24	10	15
12/07/2022	51	24	10	15
21/07/2022	51	24	10	15
30/07/2022	51	24	10	15
8/08/2022	51	24	10	15
17/08/2022	51	24	10	15
26/08/2022	51	24	10	15
4/09/2022	51	24	10	15
13/09/2022	51	24	10	15
22/09/2022	51	24	10	15
1/10/2022	51	24	10	15
10/10/2022	51	24	10	15
19/10/2022	51	24	10	15
28/10/2022	51	24	10	15
6/11/2022	51	24	10	15
15/11/2022	51	24	10	15
24/11/2022	51	24	10	15
3/12/2022	51	24	10	15
12/12/2022	51	24	10	15
21/12/2022	51	24	10	15
